Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"Renobales Vivanco, Carmelo Enrique †",PNV,Vizcaya,–,"3 (II, III, IV)",3
"Reol Tejada, Juan Manuel †",UCD,Burgos,"2 (C, I)",–,2
"Represa Fernández, Juan Ramón",PP,Segovia,–,"3 (X, XI, XII)",3
"Requejo Novoa, Pedro Jesús",Vox,Zamora,1 (XIV),–,1
"Requena Ruiz, Juan Diego",PP,Jaén,1 (XIV),–,1
"Retuerto Rodríguez, Lourdes",PSOE,Asamblea Regional de Murcia,–,"2 (XIII, XIV)",2
"Reventós i Carner, Joan †",PSC-PSOE,Barcelona / Parlamento de Cataluña,"2 (C, I)","3 (III, IV, V)",5
"Reverte Ortega, Isidro †",PSOE,Jaén,–,1 (V),1
"Reverter Sequeiros, Estanislao †",UCD,Orense,1 (C),–,1
"Revilla López, María Teresa",UCD,Valladolid,"2 (C, I)",–,2
"Revilla Rodríguez, Carlos †",CDS,Madrid,"2 (III, IV)",–,2
"Revuelta Méndez, Carlos",PP,Orense,1 (VII),–,1
"Rey Barreiro, Jaime",PSdeG-PSOE,Pontevedra,–,1 (V),1
"Rey Castellanos, Juan Ángel del †","AP-PDP, CP",Ciudad Real,"2 (II, III)",–,2
"Reyes Martínez, Francisco",PSOE,Jaén,1 (IX),–,1
"Reyes Miranda, Ofelia",PP,Santa Cruz de Tenerife,"2 (VII, X)",–,2
"Reyes Rivera, Patricia Isaura",C's,Madrid,"3 (XI, XII, XIII)",–,3
"Reynés Calvache, Águeda",PP,Baleares,"2 (XI, XII)",–,2
"Ribas de la Reyna, Joaquín",AP-PDP,Mallorca (Baleares),–,1 (II),1
"Ribas Marí, Enric",PSOE,Baleares,1 (III),–,1
"Ribas Prats, Jaime",PSOE,Baleares,1 (II),–,1
"Ribera i Garijo, Elena",DL,Gerona,1 (XI),–,1
"Ribera Rodríguez, Teresa",PSOE,Madrid,"2 (XIII, XIV)",–,2
"Ribera Rovira, Andreu †",Independiente,Designación real,–,1 (C),1
"Ribó i Massó, Rafael",IC,Barcelona,1 (V),–,1
"Rico Jiménez, Pedro José",AP-PDP,Málaga,1 (II),–,1
"Rico Ruiz, César Antonio",PP,Burgos,1 (VIII),"2 (VII, IX)",3
"Ricomá de Castellarnau, Francesc",PP,Tarragona,"5 (V, VI, VII, VIII, IX)",–,5
"Ridao i Martín, Joan",ERC,Barcelona,1 (IX),–,1
"Riera i Ben, Maria Zoila",CiU,Gerona,"2 (VI, VII)",–,2
"Riera Madurell, María Teresa",PSOE,Baleares,"2 (VI, VII)",–,2
"Riera Mercader, Josep Maria †",PSUC-PCE,Barcelona,"2 (C, I)",–,2
"Riera i Reñé, Inmaculada",CiU,Barcelona,"3 (VII, IX, X)",–,3
"Rieradevall i Tarrés, Maria",CiU,Gerona,–,1 (X),1
"Riestra Paris, Miguel †",AP,Orense,1 (C),–,1
"Rigol i Roig, Joan",CiU,Barcelona / Parlamento de Cataluña,1 (I),"2 (V, VI)",3
"Río Sanz, Emilio del",PP,La Rioja,"2 (XI, XII)",1 (VII),3
"Rioboo Almanzor, José María",CDS,La Coruña,1 (III),–,1
"Riolobos Regadera, María Carmen",PP,Toledo,"2 (XIII, XIV)","4 (IX, X, XI, XII)",6
"Ríos García, Juan",UCD,Melilla,–,"2 (C, I)",2
"Ríos Martínez, Pedro Antonio",IU,Murcia,"3 (IV, V, VI)",–,3
"Ríos Pérez, Victoriano †",CC (ATI-AIC),Parlamento de Canarias,–,"3 (V, VI, VII)",3
"Ríos Rull, Fernando",CC,Santa Cruz de Tenerife,1 (IX),–,1
"Ripa González, Vicente",PSOE,Navarra,"2 (VII, VIII)",–,2
"Ripoll Gálvez, Damián",PP,Baleares,1 (VII),–,1
"Ripoll Juan, Carlota",PP,Valencia,–,1 (X),1
"Ripoll Marín, Salvador",UCD,Murcia,–,1 (C),1
"Ripoll y Martínez de Bedoya, Carlos",PP,Mallorca (Baleares),–,1 (VIII),1
"Ripoll Serrano, José Joaquín",PP,Alicante,–,1 (V),1
"Riquer i Morera, Martí de †",Independiente,Designación real,–,1 (C),1
"Rivadulla Gràcia, Mercè","IC, ICV",Barcelona,"2 (V, VI)",–,2
"Rivas Fontán, José","UCD, PP",Pontevedra,"3 (C, VI, VII)",–,3
"Rivera Andrés, Irene",C's,Málaga,"3 (XI, XII, XIII)",–,3
"Rivera de la Cruz, Marta",C's,"Madrid, La Coruña","3 (XI, XII, XIII)",–,3
"Rivera Díaz, Albert",C's,Madrid,"3 (XI, XII, XIII)",–,3
"Rivera López, Ramiro",PP,Jaén,1 (IV),–,1
"Rivera Mallo, José Luis",PP,Pontevedra,–,"3 (IV, V, X)",3
"Rivero Alcover, Gloria Elena",PSOE,Santa Cruz de Tenerife,"2 (VIII, IX)",–,2
"Rivero Baute, Paulino",CC,Santa Cruz de Tenerife,"3 (VI, VII, VIII)",–,3
"Rivero Ortega, Enrique Víctor",C's,Palencia,1 (XIII),–,1
"Rivero i Segalàs, Maria Teresa","CiU, DL, CDC, JxCat",Lérida,–,"5 (X, XI, XII, XIII, XIV)",5
"Robles Canibe, José Luis †",PNV,Vizcaya,–,"2 (II, III)",2
"Robles Fernández, María Margarita",PSOE,"Madrid, Ávila","3 (XII, XIII, XIV)",–,3
"Robles Fraga, José María",PP,Córdoba,"3 (V, VI, VII)",–,3
"Robles López, Joaquín",Vox,Murcia,"2 (XIII, XIV)",–,2
"Robles Orozco, Gonzalo Jesús","CP, PP","Toledo, Salamanca","8 (III, IV, V, VI, VII, VIII, IX, X)","4 (XI, XII, XIII, XIV)",12
"Robles Piquer, Carlos †","AP-PDP, CP",Asamblea de Madrid,–,"2 (II, III)",2
"Robles Rodríguez, José Antonio",PP,Granada,–,1 (XIV),1
"Roca i Junyent, Miquel","PDC, CiU",Barcelona,"6 (C, I, II, III, IV, V)",–,6
"Roca Mas, Jordi",PP,Tarragona,"2 (XI, XII)",–,2
"Roces Suárez, Wenceslao †",PCE,Asturias,–,1 (C),1
"Rocha i Rocha, Xavier",PSC-PSOE,Barcelona,1 (I),–,1
"Rocha Rubí, Manuel de la",PSOE,Madrid,"3 (V, IX, X)",–,3
"Rodado Fernández, Gabriel",PP,Ciudad Real,–,1 (VII),1
"Rodríguez Alcaide, José Javier",UCD,Córdoba,"2 (C, I)",–,2
"Rodríguez Almeida, Andrés Alberto",Vox,Las Palmas,1 (XIV),–,1
"Rodríguez Ares, Ramón",PP,La Coruña,–,1 (VII),1
"Rodríguez Bajón, Miguel Ángel",PP,Madrid,1 (VI),–,1
"Rodríguez Barahona, María Teresa","PSE-PSOE, PSE-EE",Álava,"2 (IX, X)",1 (IV),3
"Rodríguez Barberá, José María",PP,Parlamento de las Islas Baleares,–,"2 (IX, X)",2
"Rodríguez Bolaños, Tomás Manuel †",PSOE,Valladolid,"3 (V, VI, VII)",1 (VIII),4
"Rodríguez Callao, Berta",PP,Barcelona,1 (VII),–,1
"Rodríguez Calleja, Patricia",PP,Ávila,–,"2 (XIII, XIV)",2
"Rodríguez Calvo, María Isabel",PSOE,Granada,"2 (IV, V)",–,2
"Rodríguez Cantero, Pedro",PSOE,Córdoba,–,"3 (VI, VII, VIII)",3
"Rodríguez Castañón, Ricardo †",UCD,Zamora,–,1 (I),1
"Rodríguez Cejas, Pablo",CC (AHI),El Hierro (Santa Cruz de Tenerife),–,"2 (XI, XII)",2
"Rodríguez Contreras, Martín †",PSOE,Badajoz,1 (I),–,1
"Rodríguez Díaz, Froilán Germán",CC (ICAN),Gran Canaria (Las Palmas),–,1 (VII),1
"Rodríguez Díaz, Inés María",PSOE,Cáceres,1 (VII),–,1
"Rodríguez Doreste, Juan †",PSOE,Gran Canaria (Las Palmas),–,"2 (II, III)",2
"Rodríguez Espinosa, Eduardo",PP,Ciudad Real,"3 (IV, V, VI)",–,3
"Rodríguez Esquerdo, Antonio Julián",PSE-EE (PSOE),Parlamento Vasco,–,"4 (X, XI, XII, XIII)",4
"Rodríguez Fernández, José",AP-PDP,Parlamento de Andalucía,–,1 (II),1
"Rodríguez Fernández, María Luz",PSOE,Guadalajara,1 (XI),–,1
"Rodríguez Flores, María Carmen",PP,Madrid,1 (X),–,1
"Rodríguez Fontecha, Samuel †",PP,Zamora,–,1 (VI),1
"Rodríguez Fouz, Coral",PSE-EE (PSOE),Guipúzcoa,–,1 (VI),1
"Rodríguez García, Isabel",PSOE,Ciudad Real,"3 (X, XI, XII)",1 (VIII),4
"Rodríguez Gómez, Jaime †",PP,Segovia,–,"3 (IV, V, VI)",3
"Rodríguez Gómez, María del Pilar",PSOE,Huelva,1 (XIV),–,1
"Rodríguez Gómez, Mateo José †",AP-PDP,Cantabria,1 (II),–,1
"Rodríguez Gómez de Celis, Alfonso",PSOE,Sevilla,"2 (XIII, XIV)",–,2
"Rodríguez González, Miguel Ángel",PP,Cortes de Castilla-La Mancha,–,1 (X),1
"Rodríguez Hernández, Juana Amalia",PSOE,Sevilla,"2 (XI, XII)",–,2
"Rodríguez Hernández, Melisa",C's,Santa Cruz de Tenerife,"3 (XI, XII, XIII)",–,3
"Rodríguez Herrer, María Elvira",PP,"Murcia, Jaén, Madrid / Asamblea de Madrid","3 (VIII, X, XIV)",1 (IX),4
"Rodríguez Ibarra, Juan Carlos",PSOE,Badajoz,"3 (C, I, II)",–,3
"Rodríguez Legido, Celso",CDS,Ávila,–,1 (III),1
"Rodríguez López, Francisco",PSOE,Murcia,–,1 (I),1
"Rodríguez López, María Dolores",PP,Sevilla,"2 (VII, VIII)",–,2
"Rodríguez López, Ramón",PP,Albacete,–,1 (XIV),1
"Rodríguez Losada, Cándido",PSdeG-PSOE,Orense,–,1 (VIII),1
"Rodríguez Maciá, Manuel",PSOE,Alicante,1 (III),–,1
"Rodríguez Maniega, María del Carmen",PP,Asturias,"2 (IX, X)",–,2
"Rodríguez Marín, Juan Antonio","UCD, PP",Alicante / Cortes Valencianas,1 (C),"4 (V, VIII, IX, X)",4
"Rodríguez Martín, Francisco",PSOE,Sevilla,–,1 (VIII),1
"Rodríguez Martínez, Ángela",En Marea (Podemos),Pontevedra,"2 (XI, XII)",–,2
"Rodríguez Martínez, María Agustina",PP-EU,Badajoz,–,1 (X),1
"Rodríguez Moroy, Luis Javier",UCD,La Rioja,1 (I),–,1
"Rodríguez Navarro, Pedro",PSOE,Valencia,–,1 (XIII),1
"Rodríguez Núñez, José Francisco †",UCD,Huelva,1 (C),–,1
"Rodríguez Orrantia, Jesús María",PSE-EE (PSOE),Vizcaya,–,1 (VI),1
"Rodríguez Ortega, Angustias María",PSOE,Jaén,"3 (III, IV, V)",–,3
"Rodríguez Pardo, José Luis †",PSdeG-PSOE,La Coruña,1 (I),"2 (II, III)",3
"Rodríguez Pérez, Fernando Carlos",PP,Lugo / Parlamento de Galicia,–,"4 (VII, VIII, XI, XII)",4
"Rodríguez Pérez, Jorge Alberto",PP,Parlamento de Canarias,–,"2 (XII, XIII)",2
"Rodríguez Ramírez, María José",PSOE,Huelva / Parlamento de Andalucía,1 (X),1 (IX),2
"Rodríguez Ramos, María Soraya",PSOE,Valladolid,"5 (VIII, IX, X, XI, XII)",–,5
"Rodríguez Reguera, Antonio",UCD,Cáceres,–,1 (C),1
"Rodríguez Reza, José †",UCD,Orense,–,"2 (C, I)",2
"Rodríguez Rodríguez, Alberto","Podemos, UP",Santa Cruz de Tenerife,"4 (XI, XII, XIII, XIV)",–,4
"Rodríguez Rodríguez, Antonio",PSdeG-PSOE,Orense,"5 (I, II, III, IV, V)",1 (VI),6
"Rodríguez Rodríguez, José Juan",PSOE,Parlamento de Canarias,–,"4 (II, III, IV, V)",4
"Rodríguez Rodríguez, Juan Miguel",PSOE,Málaga,"3 (IV, V, VI)",–,3
"Rodríguez Rodríguez, Román","CC, NC",Las Palmas,1 (VIII),–,1
"Rodríguez Rueda, María Rosario",PP,Albacete,–,"2 (XI, XII)",2
"Rodríguez Sahagún, Agustín †","UCD, CDS","Vizcaya, Ávila","3 (I, II, III)",–,3
"Rodríguez Salas, José Antonio",PSOE,Granada,"2 (XIII, XIV)",–,2
"Rodríguez Saldaña, María Cruz",PP,Burgos,–,"2 (VI, VII)",2
"Rodríguez San León, Luis",UCD,Zamora,–,"2 (C, I)",2
"Rodríguez Sánchez, Francisco",BNG,La Coruña,"3 (VI, VII, VIII)",–,3
"Rodríguez Sánchez, Germán",PSC-PSOE,Barcelona,"2 (X, XI)",–,2
"Rodríguez Sánchez, María Felicidad",PP,Cádiz,1 (X),–,1
"Rodríguez Torres, Juan José",PSOE,Huesca,–,"5 (IV, V, VI, VII, VIII)",5
"Rodríguez Valverde, León Máximo †",PSOE,Madrid,"6 (C, I, II, III, IV, V)",–,6
"Rodríguez Vázquez, Antonio",C's,La Coruña,1 (XI),–,1
"Rodríguez Vázquez, María Paloma",PSdeG-PSOE,La Coruña,1 (X),–,1
"Rodríguez Zapatero, José Luis",PSOE,"León, Madrid","7 (III, IV, V, VI, VII, VIII, IX)",–,7
"Rodríguez-Aguilera Conde, Cesáreo †",PSC-PSOE,Barcelona,–,1 (III),1
"Rodríguez-Arana Muñoz, Jaime",PP,La Coruña,1 (VI),–,1
"Rodríguez-Comendador Pérez, Luis Rogelio",PP,Almería,–,"4 (X, XI, XII, XIV)",4
"Rodríguez-Hevia González, Alfonso Jesús",PP,León,–,"2 (XI, XII)",2
"Rodríguez-Miranda Gómez, Santiago",UCD,Baleares,"2 (C, I)",–,2
"Rodríguez-Piñero Fernández, Inmaculada",PSOE,Valencia,"2 (IX, X)",–,2
"Rodríguez-Ponga Salamanca, Rafael","PP, PP-EU","Madrid, Cáceres","2 (IX, X)",–,2
"Rodríguez-Salmones Cabeza, Beatriz",PP,Madrid,"5 (VI, VII, VIII, IX, X)",–,5
"Rodríguez de la Borbolla Camoyán, José María",PSOE,Sevilla,–,"2 (I, VI)",2
"Rodrigo de Santiago, Julio César †",UCD,León,–,1 (C),1
"Rodrigo González, Benito †",PSOE,Zaragoza,1 (C),–,1
"Rogado Hernández, María Encarnación",PP,Salamanca,1 (VII),–,1
"Roig i Grau, Joan Maria",CiU,Parlamento de Cataluña,–,"5 (V, VI, VII, IX, X)",5
"Rojas García, Carlos",PP,Granada,"4 (XI, XII, XIII, XIV)",–,4
"Rojas Gómez, Fernando †",UCD,Toledo,–,1 (C),1
"Rojas-Marcos de la Viesca, Alejandro","PSA, PA","Cádiz, Sevilla","2 (I, IV)",–,2
"Rojo García, Francisco Javier","PSE-PSOE, PSE-EE",Álava,"3 (II, III, IV)","5 (V, VI, VII, VIII, IX)",8
"Rojo Martínez, Carlos",PP,Palencia,–,1 (VII),1
"Rojo Noguera, Pilar Milagros",PP,Pontevedra,"2 (XI, XII)",1 (XIV),3
"Rojo Tudela, Estrella","PSE-PSOE, PSE-EE",Álava,–,"2 (IV, V)",2
"Roldán Guijarro, Miguel Ángel †",PSOE,Melilla,–,1 (II),1
"Roldán Martínez, Donelia",PSOE,Albacete,–,"1 (XIII, XIV)",1
"Roldán Monés, Antonio",C's,Barcelona,"3 (XI, XII, XIII)",–,3
"Roldán Suárez, Lorena",C's,Parlamento de Cataluña,–,"3 (XII, XIII, XIV)",3
"Roldós Caballero, María Mercedes",PP,Las Palmas / Parlamento de Canarias,1 (VIII),"3 (X, XI, XII)",4
"Rollán Ojeda, Pedro Manuel",PP,Madrid,–,1 (XIV),1
"Romacho Romero, María Inmaculada",PSOE,Almería,1 (V),–,1
"Román Ceba, Manuel †",UCD,Badajoz,–,1 (I),1
"Román Clemente, José Fermín",IU,Parlamento de Andalucía,–,1 (VI),1
"Román Díaz, Francisco †",PSOE,Málaga,1 (C),1 (I),2
"Román Guerrero, Rafael",PSOE,Cádiz / Parlamento de Andalucía,"2 (VIII, IX)","5 (I, II, III, IV, V)",7
"Román Jasanada, Antonio",PP,Guadalajara,"2 (VII, X)","3 (VIII, XIII, XIV)",5
"Román Ruiz, Feliciano",UCD,Guadalajara,–,"2 (C, I)",2
"Romay Beccaría, José Manuel","AP-PDP, CP, PP",La Coruña,"4 (II, III, IV, VII)",–,4
"Romera i Alcázar, Domènec",AP-PDP,Parlamento de Cataluña,–,1 (II),1
"Romero Bañón, Virginia",PP,Alicante,–,1 (X),1
"Romero Calero, José María",PSOE,Sevilla,–,1 (VII),1
"Romero Castilla, Manuel Eugenio",PSOE,Huelva,1 (IV),–,1
"Romero Fernández, Jesús",PSOE,Granada,1 (VI),–,1
"Romero Girón, Aurelio",PP,Cádiz / Parlamento de Andalucía,"3 (VII, IX, X)",1 (V),4
"Romero González, Joan",PSOE,Valencia,"2 (II, VI)",–,2
"Romero Hernández, Carmelo",PP,Huelva,"4 (X, XI, XII, XIV)",1 (XIII),5
"Romero Herrera, José Carlos",PSOE,Zamora,"2 (III, IV)",–,2
"Romero López, Carmen",PSOE,Cádiz,"4 (IV, V, VI, VII)",–,4
"Romero Martínez, María Dolores",PSOE,Murcia,1 (V),–,1
"Romero Morcillo, Felipe",UCD,Cáceres,1 (C),–,1
"Romero Rodríguez, María Eugenia",PP,Sevilla,"3 (X, XI, XII)",–,3
"Romero Romero, Bartolomé",PP,Murcia,–,1 (VI),1
"Romero Ruiz, Antonio","PCE, IU",Málaga / Parlamento de Andalucía,"2 (IV, V)",1 (III),3
"Romero Sánchez, Rosa María",PP,Ciudad Real / Cortes de Castilla-La Mancha,"6 (VII, X, XI, XII, XIII, XIV)","2 (VII, VIII)",8
"Romero Santolaria, Antonio Ignacio",PP-PAR,Huesca,–,"3 (X, XI, XII)",3
"Romero Vilches, María de los Reyes",Vox,Sevilla,"2 (XIII, XIV)",–,2
"Romeu Martí, Francesc Joaquim",PSOE,Valencia,1 (VII),–,1
"Romeva i Rueda, Raül",ERC,Barcelona,–,1 (XIII),1
"Rominguera Salazar, María del Mar",PSOE,Zamora,"4 (X, XI, XII, XIII)",1 (IX),5
"Roncero Rodríguez, Victoriano",PSOE,Cáceres,"3 (III, IV, V)",–,3
"Ros Alcaide, Juan",Vox,Ceuta,–,1 (XIV),1
"Ros Campillo, Jerónimo †",PSOE,Toledo,1 (C),–,1
"Ros Maorad, José Luis",PSOE,Guadalajara,"2 (V, VI)",1 (III),3
"Ros Martínez, Susana",PSOE,Castellón,"4 (IX, X, XIII, XIV)",–,4
"Rosa Martín, Miguel Ángel de la",PP,Toledo,1 (VIII),–,1
"Rosa Plaza, Antonio",PSOE,Badajoz,–,1 (II),1
"Rosa Torner, Fernando de",PP,Valencia,–,"2 (XIII, XIV)",2
"Rosado Peinado, María de los Ángeles",C's,Guadalajara,1 (XIII),–,1
"Rosell Aguilar, María Victoria","Podemos, UP",Las Palmas,"3 (XI, XIII, XIV)",–,3
"Roses Juaneda, Antonio",UM,Parlamento de las Islas Baleares,–,1 (III),1
"Rosety Fernández de Castro, Agustín",Vox,Cádiz,"2 (XIII, XIV)",–,2
"Rosique i Saltor, Marta",ERC,Barcelona,"2 (XIII, XIV)",–,2
"Rosón Pérez, Antonio †",UCD,Lugo,1 (C),1 (I),2
"Rovira Tarazona, Juan †","UCD, CP","Cáceres, Alicante","3 (C, I, III)",–,3
"Royo-Villanova Payá, Alejandro","UCD, AP-PDP",Valladolid,1 (II),"2 (C, I)",3
"Ruano Gómez, Juan de Dios",PP,La Coruña,1 (X),–,1
"Rubert de Ventós, Xavier",PSC-PSOE,Barcelona,1 (II),–,1
"Rubial Cachorro, Lentxu †",PSE-EE (PSOE),Vizcaya,–,"2 (VIII, IX)",2
"Rubial Cavia, Ramón †","PSE-PSOE, PSE-EE",Vizcaya / Parlamento Vasco,–,"7 (C, I, II, III, IV, V, VI)",7
"Rubiales Rojas, Emilio †",PSA,Cádiz,1 (I),–,1
"Rubiales Torrejón, María Amparo",PSOE,Sevilla,"3 (V, VI, VII)","2 (III, IV)",5
"Rubido Ramonde, Leopoldo",PP,La Coruña,–,"2 (V, VI)",2
"Rúbies i Garrofé, Maria †","DC, CiU",Lérida,1 (I),1 (C),2
"Rubio Mielgo, José Antonio",PP,Palencia,–,"4 (IX, X, XI, XII)",4
"Rubio Ruiz, Juan José",PSOE,Zaragoza,–,"2 (XI, XII)",2
"Rudi Úbeda, Luisa Fernanda","CP, PP",Zaragoza / Cortes de Aragón,"6 (III, IV, V, VII, VIII, IX)","5 (X, XI, XII, XIII, XIV)",11
"Rueda Crespo, José Antonio †","AP-PDP, CP",Pontevedra,–,"2 (II, III)",2
"Rueda Espinar, Ramón †",PSOE,Sevilla,"3 (IV, V, VI)",–,3
"Rueda Perelló, Patricia",Vox,Málaga,"2 (XIII, XIV)",–,2
"Rufà i Gràcia, Josep",ERC,Tarragona,–,"4 (XI, XII, XIII, XIV)",4
"Rufián Romero, Gabriel",ERC,Barcelona,"4 (XI, XII, XIII, XIV)",–,4
"Rufo Morgado, Ana María",PSOE,Badajoz,–,1 (VIII),1
"Ruipérez Ruiz, Antonia",PP,Albacete,–,1 (VII),1
"Ruiz i Carbonell, Joan",PSC-PSOE,Tarragona,"6 (IX, X, XI, XII, XIII, XIV)",–,6
"Ruiz de Diego, Víctor Javier",PSOE,Zaragoza,–,"2 (XIII, XIV)",2
"Ruiz Fernández, Jesús",PSOE,Cádiz,1 (III),–,1
"Ruiz Gallardón, José María †","AP-PDP, CP",Zamora,"2 (II, III)",–,2
"Ruiz García, Fernando",PSOE,Alicante,–,1 (VII),1
"Ruiz Llamas, Román",PSC-PSOE,Barcelona,"2 (IX, X)",–,2
"Ruiz López, Antero",IU,Madrid,1 (VII),–,1
"Ruiz López, Juan Carlos",PP,Murcia,"3 (V, VI, VII)",–,3
"Ruiz López, María Concepción",PSOE,Navarra,1 (XIII),–,1
"Ruiz Medrano, Ramiro Felipe",PP,Valladolid,1 (IV),1 (V),2
"Ruiz Mendoza, Joaquín †",PSOE,Valencia,1 (C),"3 (II, III, IV)",4
"Ruiz Monrabal, Vicente †",UCD,Valencia,1 (I),–,1
"Ruiz Navarro, Eduardo Luis",Vox,Alicante,1 (XIV),–,1
"Ruiz Povedano, José María",PSOE,Málaga,1 (IV),–,1
"Ruiz Ramírez, José María †",PSOE,Valencia,–,"3 (C, I, II)",3
"Ruiz Reyes, Sebastián",PP,Cádiz,–,1 (X),1
"Ruiz Risueño, Francisco",UCD,Albacete,1 (C),1 (I),2
"Ruiz Rivero, José Manuel",PP,Mallorca (Baleares),–,"2 (VI, VII)",2
"Ruiz Ruiz, José Isidoro","AP-PDP, CP",Guadalajara,1 (III),1 (II),2
"Ruiz Ruiz, María Jesús",PP,Soria / Cortes de Castilla y León,1 (VII),"2 (IX, X)",3
"Ruiz Saavedra, Lucía Sebastiana",PSOE,Las Palmas,1 (VI),–,1
"Ruiz Santos, Pedro Antonio",PSOE,Albacete,–,1 (X),1
"Ruiz Solás, María de la Cabeza",Vox,Madrid,"2 (XIII, XIV)",–,2
"Ruiz Soto, Carlos","AP-PDP, CP",Madrid,"2 (II, III)",–,2
"Ruiz-Ayúcar Alonso, Jesús María",PP,Toledo,–,1 (VI),1
"Ruiz-Gallardón Jiménez, Alberto","CP, PP",Madrid / Asamblea de Madrid,1 (X),"3 (III, IV, V)",4
"Ruiz-Navarro Gimeno, José Luis","UCD, AP-PDP",Madrid,"3 (C, I, II)",–,3
"Ruiz-Sillero Bernal, María Teresa",PP,Parlamento de Andalucía,–,"3 (XII, XIII, XIV)",3
"Ruiz-Tagle Morales, Ana María",PSOE,Sevilla,"2 (C, I)","3 (II, III, IV)",5
"Ruiz de Erenchun Oficialdegui, Ángel María",Independiente,Parlamento de Navarra,–,"2 (II, III)",2
"Ruiz de Pinedo Undiano, Iñaki",EH Bildu,Álava,"2 (XIII, XIV)",–,2
"Rull i Andreu, Josep",JxCat,Tarragona,1 (XIII),–,1
"Rumí Ibáñez, María Consuelo",PSOE,Almería,"4 (VII, VIII, IX, X)",–,4
"Rupérez Rubio, Francisco Javier","UCD, AP-PDP, CP, PP","Cuenca, Madrid, Ciudad Real / Cortes de Castilla-La Mancha","6 (I, III, IV, V, VI, VII)",1 (II),7
"Ruz Villanueva, Pablo",PP,Alicante,–,"2 (XIII, XIV)",2
"Saavedra Acevedo, Jerónimo",PSOE,Las Palmas / Parlamento de Canarias,"4 (C, I, II, VI)","3 (V, VI, VII)",7
"Saavedra Muñoz, Marisa",UP,Castellón,"2 (XIII, XIV)",–,2
"Sabalete Jiménez, José",UCD,Jaén,1 (I),–,1
"Sabando Suárez, Pedro Feliciano",PSOE,Madrid / Asamblea de Madrid,1 (III),"2 (VII, VIII)",3
"Sabanés Nadal, Inés","IU, Más País",Madrid,"2 (VI, XIV)",–,2
"Sabaté i Borràs, Joan",PSC-PSOE[1]​,Tarragona / Parlamento de Cataluña,–,"4 (VII, VIII, IX, X)",4
"Sabaté i Ibarz, Francesc Xavier",PSC-PSOE,Tarragona,"3 (V, VI, VII)",1 (III),4
"Sabater Escudé, Juan","UCD, CC-UCD",Tarragona,"2 (C, I)",–,2
"Sabater Llorens, Inmaculada",PSOE,Alicante,1 (C),–,1
"Saborido Galán, Eduardo",PCE,Sevilla,1 (I),–,1
"Sacrest i Villegas, Lluís",PSC-PSOE,Gerona,1 (C),–,1
"Sacristán Rodríguez, José Antonio",PP,Palencia,–,"2 (IV, VIII)",2
"Sáenz de Cosculluela, Javier Luis",PSOE,"La Rioja, Madrid","7 (C, I, II, III, IV, V, VI)",–,7
"Sáenz Lorenzo, Alfonso",PSOE,Cortes de Aragón,–,"4 (II, III, IV, V)",4
"Sáenz Lorenzo, José Félix †",PSOE,Zaragoza,"5 (I, II, III, IV, V)",–,5
"Sáenz Royo, Eva",PSOE,Zaragoza,1 (VIII),–,1
"Sáenz-Díez Gándara, Juan Ignacio",UCD,Soria,"2 (C, I)",–,2
"Sáenz de Santamaría Antón, María Soraya",PP,Madrid,"5 (VIII, IX, X, XI, XII)",–,5
"Sáez Alonso-Muñumer, Pablo",Vox,Valladolid,"2 (XIII, XIV)",–,2
"Sáez González, Roberto †",UCD,Cantabria,–,1 (I),1
"Sáez Jubero, Àlex",PSC-PSOE,Gerona,"3 (VIII, IX, X)",–,3
"Sagarna Alberdi, María Teresa",PP,Álava,1 (VII),–,1
"Sagaseta Cabrera, Fernando †",UPC,Las Palmas,1 (I),–,1
"Sagastizabal Unzetabarrenetxea, Idoia",PNV,Vizcaya,"3 (XII, XIII, XIV)",–,3
"Sagredo de Miguel, José Luis †",CDS,Cortes de Castilla y León,–,1 (III),1
"Sahuquillo García, Luis Carlos",PSOE,Cuenca,"6 (IX, X, XI, XII, XIII, XIV)",–,6
"Sainz Aja, Luis †",PSOE,Cantabria,"2 (III, IV)",–,2
"Sainz García, José Luis †","CP, PP",Cortes de Castilla y León,–,"4 (III, IV, V, VI)",4
"Sainz García, María Jesús","CP, PP",La Coruña / Parlamento de Galicia,"5 (IV, V, VI, VII, VIII)","3 (III, IX, X)",8
"Sainz de Varanda y Jiménez de la Iglesia, Ramón †",PSOE,Zaragoza,–,1 (C),1
"Sala i Canadell, Ramon †","PDC, CiU",Gerona,"2 (C, I)","4 (II, III, IV, V)",6
"Sala i Griso, Josep Maria",PSC-PSOE,Parlamento de Cataluña,–,"3 (IV, V, VI)",3
"Sala Torres, José",PP,Ibiza-Formentera (Baleares),–,1 (X),1
"Salanueva Murguialday, Amelia","UPN-PP, NA+ (PP)",Navarra,–,"4 (VIII, X, XIII, XIV)",4
"Salarrullana De Verda, María Pilar †","UCD, CP",La Rioja,1 (III),1 (I),2
"Salas Larrazábal, Ángel †",Independiente,Designación real,–,1 (C),1
"Salas Machuca, Rafael Javier",PP,Parlamento de Andalucía,–,"1 (IX, X)",1
"Salas Moreno, José Nicolás de","CP, CiU",Barcelona,"2 (III, IV)",–,2
"Salazar Bello, María Isabel",PSdeG-PSOE,Lugo,1 (VIII),–,1
