Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"Álvarez Emparanza, José Luis †",HB,Guipúzcoa,–,"2 (III, IV)",2
"Álvarez Fanjul, Beatriz",PP,Vizcaya,1 (XIV),–,1
"Álvarez Fernández, Juan Antonio",PSOE,Cáceres,–,1 (VIII),1
"Álvarez Fernández, Roberto",PSdeG-PSOE,Lugo,1 (V),–,1
"Álvarez Gayol, María Enedina",PSOE,Madrid,"2 (V, VI)",–,2
"Álvarez Gómez, Eugenio",PSOE,Badajoz,–,1 (VIII),1
"Álvarez Gómez, Julio",PSdeG-PSOE,Orense,1 (VI),–,1
"Álvarez González, María Jesús",PSOE,Junta General del Principado de Asturias,–,1 (XIV),1
"Álvarez Gutiérrez, Mariano",PP,Toledo,–,1 (V),1
"Álvarez Montes, María Marta",PP,Parlamento de Galicia,–,"2 (V, VI)",2
"Álvarez Oteo, María Eloísa †",PSOE,Soria,"2 (VIII, IX)",1 (X),3
"Álvarez Palleiro, Félix",C's,Cantabria,1 (XII),–,1
"Álvarez Paredes, Enrique",PP,Lugo,"2 (IV, V)",–,2
"Álvarez Pedreira, Vicente †",UCD,Tenerife (Santa Cruz de Tenerife),–,1 (I),1
"Álvarez Pereira, José María",PSOE,Cáceres,1 (VI),–,1
"Álvarez Rodríguez, Ismael",PP,León,–,1 (V),1
"Álvarez Ruiz de Viñaspre, Domingo de Guzmán †","UCD, AP-PDP, CP, PP",La Rioja,–,"5 (C, I, II, III, IV)",5
"Álvarez Simón, María Elena",PP,Santa Cruz de Tenerife,1 (XI),–,1
"Álvarez Sostres, Enrique",FORO,Asturias,1 (X),–,1
"Álvarez Urda, Beatriz",PSOE,Málaga,–,1 (IX),1
"Álvarez Villazán, Emilio",PSOE,Valladolid,1 (IX),"3 (X, XI, XII)",4
"Álvarez-Arenas Cisneros, María del Carmen",PP,Madrid / Asamblea de Madrid,"4 (IX, X, XI, XII)","2 (VI, VII)",6
"Álvarez-Cascos Fernández, Francisco","AP-PDP, CP, PP",Asturias,"5 (III, IV, V, VI, VII)",1 (II),6
"Álvarez de Eulate Peñaranda, José María",AP-PDP,Burgos,–,1 (II),1
"Álvarez de Miranda García, Ramón María †",UCD,Madrid,1 (I),–,1
"Álvarez de Miranda y Torres, Fernando",UCD,Palencia,"2 (C, I)",–,2
"Álvarez de Toledo Peralta-Ramos, Cayetana",PP,"Madrid, Barcelona","4 (IX, X, XIII, XIV)",–,4
"Alzaga Villaamil, Óscar","UCD, AP-PDP, CP",Madrid,"4 (C, I, II, III)",–,4
"Amador Cueto, Antonio",PSOE,Teruel,–,1 (XIII),1
"Amador Guillén, Eva María",PP,Valencia,"2 (V, VI)",–,2
"Amador Millán, María Ángeles",PSOE,"Segovia, Madrid","2 (VI, VII)",–,2
"Amarillo Doblado, Francisco",PSOE,Badajoz,"2 (VI, VII)",–,2
"Amat Vicedo, Enrique",PSOE,Murcia,"2 (III, IV)",–,2
"Amat de León Guitart, Evaristo",AP-PDP-UV,Valencia,–,1 (II),1
"Amate Rodríguez, José Antonio",PSOE,Almería,"6 (I, II, III, IV, V, VI)",–,6
"Amilivia González, Mario de","CP, PP",León,1 (III),"2 (VII, VIII)",3
"Amores Regalado, Rubén",PSOE,Salamanca,–,1 (X),1
"Amorós i Sans, Maria Mercè",CiU,Gerona,1 (VI),–,1
"Amorós i Solà, Francesc Xavier",PSC-PSOE,Tarragona,–,"2 (III, IV)",2
"Amuedo Moral, Emilio",PSOE,Sevilla,"2 (VIII, IX)",–,2
"Anasagasti Olabeaga, Iñaki Mirena",PNV,Vizcaya,"5 (III, IV, V, VI, VII)","3 (VIII, IX, X)",8
"Anchuelo Crego, Álvaro",UPyD,Madrid,1 (X),–,1
"Andrés Añón, Carmen",PSC-PSOE,Barcelona,"2 (XIII, XIV)",–,2
"Andrés Barea, Josefa",PSOE,Valencia,"2 (XIII, XIV)",–,2
"Andrés Prieto, Raquel Miriam",PSOE,Palencia,–,"2 (IX, X)",2
"Andreu i Abelló, Carles †",CiU,Tarragona,–,"2 (II, III)",2
"Andreu i Abelló, Josep †",PSC-PSOE,Barcelona,1 (C),"2 (I, II)",3
"Andreu Andreu, Jerónimo",IU,Cádiz,"2 (IV, V)",–,2
"Andreu i Domingo, Josep",ERC[1]​,Tarragona,1 (VIII),1 (VII),2
"Andúgar Ruiz, Julián †",PSOE,Alicante,–,1 (C),1
"Ángel Batalla, José María",PSOE,Cortes Valencianas,–,"2 (IX, X)",2
"Anguita González, Julio †",IU,Madrid,"3 (IV, V, VI)",–,3
"Anguita Pérez, Omar",PSOE,Madrid,1 (XIV),–,1
"Angulo Martínez, María del Mar",PP,Soria / Cortes de Castilla y León,–,"5 (VIII, IX, X, XI, XII)",5
"Angulo Montes, Luis de",UCD,Designación real,–,1 (C),1
"Angulo Romero, María Teresa","PP-EU, PP",Badajoz,"4 (X, XI, XII, XIV)",–,4
"Angustia Gómez, María Vanessa",En Marea (EU),Pontevedra,–,"2 (XI, XII)",2
"Ansotegui Aranguren, Ricardo",PNV,Vizcaya,1 (IV),–,1
"Antich i Balada, Jaume",PSC-PSOE,Tarragona,"4 (II, III, IV, V)",–,4
"Antich Oliver, Francesc",PSOE,Baleares / Parlamento de las Islas Baleares,1 (VIII),"5 (IX, X, XI, XII, XIII)",6
"Antigüedad Auzmendi, Iñaki",Amaiur,Vizcaya,1 (X),–,1
"Antón Cacho, Javier",PSOE,Soria,"4 (XI, XII, XIII, XIV)",–,4
"Antón Rodrigo, Abel",PP,Soria,–,1 (X),1
"Antón Rueda, Juan Emilio",PP,Zamora,–,1 (VII),1
"Antona Gómez, Asier",PP,Parlamento de Canarias,–,"2 (XIII, XIV)",2
"Antoñanzas Garro, María Teresa",PP,La Rioja,–,"2 (XI, XII)",2
"Añon Lizaldre, Alfonso",UPN-AP-PDP,Navarra,–,1 (II),1
"Aparici Moya, Vicente",PP,Castellón,–,1 (X),1
"Aparicio Calzada, María",PP,La Coruña,–,"2 (XI, XII)",2
"Aparicio Pérez, Juan Carlos","CP, PP",Burgos,"7 (III, IV, V, VI, VII, IX, X)",1 (VIII),8
"Apostua Palos, Luis †",UCD,"La Rioja, Madrid","2 (C, I)",–,2
"Aragón Amunárriz, María del Carmen de",PP,Ávila,–,"5 (VIII, IX, X, XI, XII)",5
"Aragón Ariza, Francisco Javier",PSOE,Granada,–,"2 (XIII, XIV)",2
"Aragonès i Delgado de Torres, Lluís",ERC[1]​,Tarragona,–,1 (VIII),1
"Aragonés Lloret, Antonio María †",PP,Alicante,1 (VI),–,1
